sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxAlias,atc,officialAtcCode,natureOfIncome
PH-TAX-0118,Purchases,EWT,WC 555,WC 555 | SALE OF REAL PROPERTY (ORDINARY ASSETS),1.5,,WC 555,WC 555,SALE OF REAL PROPERTY (ORDINARY ASSETS)
PH-TAX-0119,Purchases,EWT,WC 556,WC 556 | SALE OF REAL PROPERTY (ORDINARY ASSETS),3,,WC 556,WC 556,SALE OF REAL PROPERTY (ORDINARY ASSETS)
PH-TAX-0120,Purchases,EWT,WC 557,WC 557 | SALE OF REAL PROPERTY (ORDINARY ASSETS),5,,WC 557,WC 557,SALE OF REAL PROPERTY (ORDINARY ASSETS)
PH-TAX-0121,Purchases,EWT,WC 558,WC 558 | SALE OF REAL PROPERTY (ORDINARY ASSETS),6,,WC 558,WC 558,SALE OF REAL PROPERTY (ORDINARY ASSETS)
PH-TAX-0122,Purchases,EWT,WC 610,"WC 610 | INCOME PAYMENTS MADE TO SUPPLIERS OF AGRICULTURAL PRODUCTS IN EXCESS OF CUMULATIVE AMOUNT OF P 300,000 WITHIN THE SAME TAXABLE YEAR",1,,WC 610,WC 610,"INCOME PAYMENTS MADE TO SUPPLIERS OF AGRICULTURAL PRODUCTS IN EXCESS OF CUMULATIVE AMOUNT OF P 300,000 WITHIN THE SAME TAXABLE YEAR"
PH-TAX-0123,Purchases,EWT,WC 630,"WC 630 | INCOME PAYMENTS ON PURCHASES OF MINERALS, MINERAL PRODUCTS AND QUARRY RESOURCES, SUCH AS BUT NOT LIMITED TO SILVER, GOLD, MARBLE, GRANITE, GRAVEL, SAND, BOULDERS AND OTHER MINERAL PRODUCTS EXCEPT PURCHASES BY BANGKO SENTRAL NG PILIPINAS",5,,WC 630,WC 630,"INCOME PAYMENTS ON PURCHASES OF MINERALS, MINERAL PRODUCTS AND QUARRY RESOURCES, SUCH AS BUT NOT LIMITED TO SILVER, GOLD, MARBLE, GRANITE, GRAVEL, SAND, BOULDERS AND OTHER MINERAL PRODUCTS EXCEPT PURCHASES BY BANGKO SENTRAL NG PILIPINAS"
PH-TAX-0124,Purchases,EWT,WC 632,"WC 632 | INCOME PAYMENTS ON PURCHASES OF MINERALS, MINERAL PRODUCTS AND QUARRY RESOURCES BY BANGKO SENTRAL NG PILIPINAS (BSP) FROM GOLD MINERS/SUPPLIERS UNDER PD 1899, AS AMENDED BY RA NO. 7076",1,,WC 632,WC 632,"INCOME PAYMENTS ON PURCHASES OF MINERALS, MINERAL PRODUCTS AND QUARRY RESOURCES BY BANGKO SENTRAL NG PILIPINAS (BSP) FROM GOLD MINERS/SUPPLIERS UNDER PD 1899, AS AMENDED BY RA NO. 7076"
PH-TAX-0125,Purchases,EWT,WC 640,WC 640 | INCOME PAYMENTS MADE BY THE GOVERNMENT AND GOVERNMENT-OWNED AND CONTROLLED CORPORATIONS (GOCCS) TO ITS LOCAL/RESIDENT SUPPLIERS OF GOODS OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX,1,,WC 640,WC 640,INCOME PAYMENTS MADE BY THE GOVERNMENT AND GOVERNMENT-OWNED AND CONTROLLED CORPORATIONS (GOCCS) TO ITS LOCAL/RESIDENT SUPPLIERS OF GOODS OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX
PH-TAX-0126,Purchases,EWT,WC 650,WC 650 | ON GROSS AMOUNT OF REFUND GIVEN BY MERALCO TO CUSTOMERS WITH ACTIVE CONTRACTS AS CLASSIFIED BY MERALCO,15,,WC 650,WC 650,ON GROSS AMOUNT OF REFUND GIVEN BY MERALCO TO CUSTOMERS WITH ACTIVE CONTRACTS AS CLASSIFIED BY MERALCO
PH-TAX-0127,Purchases,EWT,WC 651,WC 651 | ON GROSS AMOUNT OF REFUND GIVEN BY MERALCO TO CUSTOMERS WITH TERMINATED CONTRACTS AS CLASSIFIED BY MERALCO,15,,WC 651,WC 651,ON GROSS AMOUNT OF REFUND GIVEN BY MERALCO TO CUSTOMERS WITH TERMINATED CONTRACTS AS CLASSIFIED BY MERALCO
PH-TAX-0128,Purchases,EWT,WC 660,WC 660 | GROS OF INT RFUND OF MTER DPOSIT RESID ELECT>200KW MER IND,10,,WC 660,WC 660,GROS OF INT RFUND OF MTER DPOSIT RESID ELECT>200KW MER IND
PH-TAX-0129,Purchases,EWT,WC 661,WC 661 | GROS OF INT RFUND OF MTER DPOSIT NONRS ELECT>200KW MER IND,10,,WC 661,WC 661,GROS OF INT RFUND OF MTER DPOSIT NONRS ELECT>200KW MER IND
PH-TAX-0130,Purchases,EWT,WC 662,WC 662 | GROS OF INT RFUND OF MTER DPOSIT RESID ELECT>200KW DU IND,10,,WC 662,WC 662,GROS OF INT RFUND OF MTER DPOSIT RESID ELECT>200KW DU IND
PH-TAX-0131,Purchases,EWT,WC 663,WC 663 | GROS OF INT RFUND OF MTER DPOSIT NONRS ELECT>200KW DU IND,15,,WC 663,WC 663,GROS OF INT RFUND OF MTER DPOSIT NONRS ELECT>200KW DU IND
PH-TAX-0132,Purchases,EWT,WC 680,"WC 680 | INCOME PAYMENTS MADE BY POLITICAL PARTIES AND CANDIDATES OF LOCAL AND NATIONAL ELECTIONS, CORPORATE",5,,WC 680,WC 680,"INCOME PAYMENTS MADE BY POLITICAL PARTIES AND CANDIDATES OF LOCAL AND NATIONAL ELECTIONS, CORPORATE"
PH-TAX-0133,Purchases,EWT,WC 690,WC 690 | INCOME PAYMENTS SUBJECT TO WITHHOLDING TAX RECEIVED BY REAL ESTATE INVESTMENT TRUST (REIT),1,,WC 690,WC 690,INCOME PAYMENTS SUBJECT TO WITHHOLDING TAX RECEIVED BY REAL ESTATE INVESTMENT TRUST (REIT)
PH-TAX-0134,Purchases,EWT,WC 710,WC 710 | EXPANDED WITHHOLDING TAX PURSUANT TO RR NO. 14-2012 (CORPORATE),15,,WC 710,WC 710,EXPANDED WITHHOLDING TAX PURSUANT TO RR NO. 14-2012 (CORPORATE)
PH-TAX-0135,Purchases,EWT,WC 720,WC 720 | INCOME PAYMENTS ON LOCALLY PRODUCED RAW SUGAR,1,,WC 720,WC 720,INCOME PAYMENTS ON LOCALLY PRODUCED RAW SUGAR
PH-TAX-0136,Purchases,EWT,WI 010,"WI 010 | PROFESSIONAL (LAWYERS, CPAS, ENGINEERS, ETC.) - If the current year's gross income does not exceed P3,000,000.00",5,,WI 010,WI 010,"PROFESSIONAL (LAWYERS, CPAS, ENGINEERS, ETC.) - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0137,Purchases,EWT,WI 011,"WI 011 | PROFESSIONAL (LAWYERS, CPAS, ENGINEERS, ETC.) - If the current year's gross income exceed P3,000,000.00 or vat registered regardless of amount",10,,WI 011,WI 011,"PROFESSIONAL (LAWYERS, CPAS, ENGINEERS, ETC.) - If the current year's gross income exceed P3,000,000.00 or vat registered regardless of amount"
